ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys and Games Trading,تجارة لعب الأطفال
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630105,Air Cargo Services,خدمات الشحن الجوي للبضائع
I630205,Self Storage Services,خدمات التخزين الذاتي
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515953,Calculators & Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G513933,Toys and Games Trading,تجارة لعب الأطفال
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515211,Telecommunications Equipment Trading,تجارة معدات الإتصال السلكي
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513116,Slippers and Sandals Trading,تجارة النعال والصنادل
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513934,Novelties Trading,تجارة التحف الفنية
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513111,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513932,Crystal Products Trading,تجارة منتجات البلور (الكريستال)
G513110,Underwear Trading,تجارة الملابس الداخلية
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454015,Electrical Fittings & Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454019,Plaster & Cladding Works,أعمال التكسية
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G515953,Calculators and Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513934,Novelties Trading,تجارة التحف الفنية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G503001,Auto Spare Parts & Components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G521904,General Trading,تجارة عامة
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G515205,Electrical and Electronic Appliances Spare Parts Trading,تجارة قطع غيار الأجهزة الكهربائية والإلكترونية
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G513933,Toys & Games Trading,تجارة لعب الأطفال
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454015,Electrical Fittings & Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G521904,General Trading,تجارة عامة
F453011,Metal Parts Fixtures Contracting,تركيب التجهيزات والأجزاء المعدنية
F453012,Measuring Control System Installation and Repairing,تركيب معدات وأجهزة القياس والتحكم وإصلاحها
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Cladding Works,أعمال التكسية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513106,Flags and Flagpoles Trading,تجارة الأعلام والسواري
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513939,Wax Candles Trading,تجارة الشموع
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513931,Gifts Trading,تجارة الهدايا
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513913,Cookers and Cook Stoves Trading,تجارة المواقد والأفران والطابخات
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G513116,Slippers & Sandals Trading,تجارة النعال والصنادل
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G513963,Baby Care Requisites Trading,تجارة لوازم العناية بالأطفال
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
K711105,Car Rental,تأجير السيارات
I602104,Passengers Transport by Rented Buses,نقل الركاب بالحافلات المؤجرة
K711106,Buses Rental,تأجير الحافلات
G521103,Grocery Store,بقالة
G521904,General Trading,تجارة عامة
G512200,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515213,Satellite Receiving Equipment Trading,تجارة معدات إستقبال القنوات التلفزيونية الفضائية
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G515953,Calculators & Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515206,Telephones & Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
K749902,Typing & Photocopying Services,خدمات الطبع والنسخ
K749926,Documents Storage Services,خدمات حفظ الوثائق والمستندات
K749917,Businessmen  Services,خدمات رجال الأعمال
K749906,Documents Clearing Services,خدمات متابعة المعاملات
Other,Other Activity,نشاط آخر
I630105,Air Cargo Services,خدمات الشحن الجوي للبضائع
I630401,General Sales Agent,وكيل عام معتمد لخط طيران جوي أو أكثر
I630405,Tour Services,تنظيم الرحلات السياحية وتنشيطها
I630101,Customs Broker,المخلص الجمركي
I611005,Ship Charter,تأجير السفن
I630103,Cargo Packaging,خدمات حزم البضائع
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630308,Containers Loading & Unloading Services,خدمات تحميل أحوية الشحن وتفريغها
K711105,Car Rental,تأجير السيارات
G521904,General Trading,تجارة عامة
K701001,Buying and Selling of Real Estate,شراء الأراضي والعقارات وبيعها
K702001,Real Estate Buying and Selling Brokerage,الوساطة في بيع العقارات وشرائها
K702003,Real Estate Rental Intermediary,الوساطة في تأجير العقارات
I630103,Cargo Packaging,خدمات حزم البضائع
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
F452001,Building Contracting,مقاولات البناء
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454016,Sanitary Installation and Pipes Repairing,إصلاح التمديدات والتركيبات الصحية وتمديدات المياه
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
I602305,Water Transport,نقل المياه
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
K712202,"Handling, Loading & Lifting Equipment Rental",تأجير معدات وآلات التحميل والرفع
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
J659902,Investment in Industrial Enterprises and Management,الإستثمار في المشروعات الصناعية وتأسيسها وإدارتها
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513117,Shoe Trading,تجارة الأحذية
G513934,Novelties Trading,تجارة التحف الفنية
G513961,Sunglasses Trading,تجارة النظارات الشمسية
Other,Other Activity,نشاط آخر
G513959,Agarwood and Incense Trading,تجارة العود والبخور والطيب
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
Other,Other Activity,نشاط آخر
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513931,Gifts Trading,تجارة الهدايا
G502011,Auto Accessories Fitting,تجهيز السيارات بالأجزاء الإضافية
I630102,Cargo Loading and Unloading Services,خدمات تحميل وتفريغ البضائع
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513935,Paintings and Frames Trading,تجارة البراويز والصور واللوحات الفنية
G513936,Artificial Flowers and Plants Trading,تجارة الزهور والنباتات الصناعية والمجففة
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513961,Sunglasses Trading,تجارة النظارات الشمسية
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G521904,General Trading,تجارة عامة
G513117,Shoe Trading,تجارة الأحذية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513112,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630203,General Warehousing,التخزين في مخازن عامة
I630403,Shipping Lines Agents,وكيل خطوط ملاحية
G521904,General Trading,تجارة عامة
H552001,Restaurant,مطعم
H552002,Coffee Shop,مقهى
H552003,Cafeteria,بيع الوجبات الخفيفة
H552004,Sandwich Shop,بيع الشطائر
H552005,Juice and Soft Drinks Shop,بيع العصير
H552006,Ice-Cream Shop,بيع المثلجات
H552007,Fish and Seafood Cooking,طهي الأسماك والحيوانات البحرية
G513908,Advertising Requisites Trading,تجارة الوسائل والأدوات الإعلانية
D222201,Books Binding,تجليد الكتب
K743003,Promotional Gifts Preparing,تجهيز الهدايا الإعلانية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G513913,Cookers & Cookstoves Trading,تجارة المواقد والأفران والطابخات
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515213,Satellite Receiving Equipment Trading,تجارة معدات إستقبال القنوات التلفزيونية الفضائية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G515953,Calculators and Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G521904,General Trading,تجارة عامة
I630103,Cargo Packaging,خدمات حزم البضائع
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630105,Air Cargo Services,خدمات الشحن الجوي للبضائع
I630101,Customs Broker,المخلص الجمركي
G521904,General Trading,تجارة عامة
F452021,General Maintenance,الصيانة العامة
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454011,Wall Paper Fixing,تركيب ورق الجدران
D202201,Wooden Doors & Windows Manufacturing,صناعة الأبواب والنوافذ الخشبية
D202203,Wooden Decor  Products Manufacturing,صناعة لوازم التصميم الداخلي الخشبية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G514300,Building & Construction Materials Trading,تجارة مواد البناء
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
G521904,General Trading,تجارة عامة
Other,Other Activity,نشاط آخر
K711105,Car Rental,تأجير السيارات
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513112,Ladies' Garments Trading,تجارة الملابس الجاهزة النسائية
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G521104,Mini Store,متجر إستهلاكي
G512109,Fish and Sea Food Products Trading,تجارة اسماك الزينة والحيوانات الحية
G512200,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات
K701014,Self- owned Property Management Services,خدمات تأجير وإدارة العقارات الخاصة
K701001,Buying and Selling of Real Estate,شراء الأراضي والعقارات وبيعها
Other,Other Activity,نشاط آخر
K701003,Leasing and Management of other people's property,خدمات تأجير وإدارة العقارات للغير
G521904,General Trading,تجارة عامة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513117,Shoe Trading,تجارة الأحذية
D154101,Bread Manufacturing,صناعة الخبز
D154102,Pastry and Sweets Manufacturing,صناعة الفطائر والحلويات
D154301,Sugar Candies Manufacturing,صناعة الحلويات السكرية
D154302,Cocoa & Chocolate Candies Manufacturing,صناعة الحلويات من الكاكاو والشيكولاته
Other,Other Activity,نشاط آخر
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513933,Toys and Games Trading,تجارة لعب الأطفال
G514202,Basic Steel Products Trading,تجارة منتجات الحديد الأساسية
G514203,Basic Non Ferrous Metal Products Trading,تجارة المنتجات الأساسية للمعادن غير الحديدية
G514206,"Bolts, Nuts, Screws and Nails Trading",تجارة أدوات الرباط ولوازمها
G514208,Building Hardware and Tools Trading,تجارة عدد وأدوات البناء
G514209,Workshop Hardware & Tools Trading,تجارة عدد وأدوات الورش
G514300,Building and Construction Materials Trading,تجارة مواد البناء
G514318,Pipes and Fittings Trading,تجارة الأنابيب والمواسير
K722903,Web-Design,تصميم مواقع الشبكة المعلوماتية (الإنترنت)
K722901,Computer Software House,تصميم نظم الحاسب الآلي
K722906,Computer Graphic Design Services,خدمات التصميم بالحاسب الآلي
I602104,Passengers Transport by Rented Buses,نقل الركاب بالحافلات المؤجرة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513959,Agarwood and Incense Trading,تجارة العود والبخور والطيب
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513931,Gifts Trading,تجارة الهدايا
G512200,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G514318,Pipes and Fittings Trading,تجارة الأنابيب والمواسير
G514306,Tiles and Flooring Materials Trading,تجارة البلاط والأرضيات
G514307,Glass and Mirrors Trading,تجارة الزجاج والمرايا
G514313,Sanitary Ware Trading,تجارة الأدوات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Plaster & Cladding Works,أعمال التكسية
F452001,Building Contracting,مقاولات البناء
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F452008,Steel Constructions Contracting,مقاولات تشييد الإنشاءات المعدنية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513116,Slippers and Sandals Trading,تجارة النعال والصنادل
G513117,Shoe Trading,تجارة الأحذية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513959,Agarwood and Incense Trading,تجارة العود والبخور والطيب
G513931,Gifts Trading,تجارة الهدايا
G513913,Cookers and Cook Stoves Trading,تجارة المواقد والأفران والطابخات
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513922,Antennas Trading,تجارة الهوائيات
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513933,Toys and Games Trading,تجارة لعب الأطفال
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515101,Computer Electric Accessories Trading,تجارة تمديدات شبكات الحاسب الآلي
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515205,Electrical and Electronic Appliances Spare Parts Trading,تجارة قطع غيار الأجهزة الكهربائية والإلكترونية
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G513946,Musical Instruments and Requisites Trading,تجارة الآلات والأدوات الموسيقية ولوازمها
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513954,Veterinary Medicines Trading,تجارة الأدوية البيطرية
G515948,Veterinary Equipment and Instruments Trading,تجارة أجهزة البيطرة وأدواتها
K743005,Distribution of Advertising Materials & Samples,توزيع المواد الإعلانية والعينات
K749922,Conferences and Seminars Organizing,تنظيم المؤتمرات والندوات وإدارتها
K749912,Exhibition Organizing,تنظيم المعارض وإدارتها
O921401,Wedding Parties Organizing,تعهدات تنظيم حفلات الزفاف والأعراس
O921403,Parties and Entertainments Services,تعهدات الحفلات والمناسبات الترفيهية
G501001,Automobile Trading,تجارة سيارات الركاب
G521904,General Trading,تجارة عامة
I630403,Shipping Lines Agents,وكيل خطوط ملاحية
G515969,"Ships, Boats Spare Parts and Components Trading",تجارة قطع غيار السفن والقوارب ومكوناتها
G521107,Foodstuff Supply Services,خدمات تموين بالمواد الغذائية
G521911,Ship Chandlers,تعهدات تزويد السفن والبواخر
I630101,Customs Broker,المخلص الجمركي
F454019,Cladding Works,أعمال التكسية
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
K722901,Software House,تصميم نظم الحاسب الآلي
K722903,Web-Design,تصميم مواقع الشبكة المعلوماتية (الإنترنت)
K722902,Electronic Chips Programming,برمجة الرقائق الإلكترونية
K722904,Internet Content Provider,إمداد مواقع الشبكة المعلوماتية (الإنترنت) بالمحتويات
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515101,Computer Electric Accessories Trading,تجارة تمديدات شبكات الحاسب الآلي
K722901,Computer Software House,تصميم نظم الحاسب الآلي
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
G521103,Grocery Store,بقالة
G514102,Lubricants & Grease Trading,تجارة الشحوم وزيوت التزليق
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
F453011,Metal Parts Fixtures Contracting,تركيب التجهيزات والأجزاء المعدنية
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Plaster & Cladding Works,أعمال التكسية
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454021,Glass & Aluminum Installation & Maintenance,تركيب الزجاج وأشغال الألمنيوم في المباني وصيانتها
D351202,Boats Building,صناعة القوارب
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
G513117,Shoe Trading,تجارة الأحذية
G513931,Gifts Trading,تجارة الهدايا
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
